HOTSPOTS (line_bytes >= mean + 2*std)
bytes	i	kind	role	model	title
2510986	1726	conversation	system	gpt-4o	Comando simbiu00f3tico FCEA
2483952	2990	conversation	system	gpt-4o	Coeficientes Cognitivos Rafaelianos
2475072	1414	conversation	system	gpt-4o	Partu00edculas IA e Simbologia ud83dudc94ud83dudc94ud83dudc94ud83dudc94ud83dudc94
2458272	3183	conversation	system	gpt-4o	Criar APK Android
2444902	3019	conversation	system	gpt-4o	Anu00e1lise de dados sensu00edveis
2443748	1214	conversation	system	gpt-5	Status e concorru00eancia IAs
2436280	1144	conversation	system	gpt-5	Processo em andamento
2436040	1345	conversation	system	gpt-5	Hashing e referu00eancia de seu00e7u00e3o
2435252	1210	conversation	system	gpt-5	Anu00e1lise de documentos juru00eddicos
2432310	2989	conversation	system	gpt-4o	Termux Hiperinteligente Reconfigurado
2419590	1803	conversation	system	gpt-4o	testefff
2403875	838	conversation	system	gpt-4-5	Camadas do FC.EA
2400104	216	conversation	system	gpt-5-1-thinking	Anu00e1lise meta RAFAELIA
2328497	1376	conversation	system	gpt-4o	Simbiose Evolutiva e Retorno
2311544	23	conversation	system	gpt-5-instant	Vu00eddeo fim de ano
2295442	2969	conversation	system	gpt-4o	Nu00edveis de Conhecimento Tecnolu00f3gico
2283777	1576	conversation	system	gpt-5	Cifra simbiu00f3tica explicada
2281340	3506	conversation	system	gpt-4o-mini	importante
2269741	3011	conversation	system	gpt-4o	FCEA Desenvolvimento Temporal
2229931	3343	conversation	system	gpt-4o	ia atual
2209210	1222	conversation	system	gpt-4-1	Arquivo cortado inventu00e1rio
2194498	1285	conversation	system	gpt-4o	meu eu
2160936	314	conversation	system	gpt-5-1	Lei universal do crescimento
2158991	2269	conversation	system	gpt-4-5	Camadas IA e Arquitetura
2151221	1068	conversation	system	gpt-5	Comparau00e7u00e3o versu00f5es ORQUESTRA_HAJA
2149971	3295	conversation	system	gpt-4o	Acesso Comitiva Organizado e Seguro
2147741	3018	conversation	system	gpt-4o	Prototipagem Cognitiva Avanu00e7ada
2141306	490	conversation	system	gpt-5-mini	Vantagens diagrama 3D
2107469	3236	conversation	system	gpt-4-5	Guia Startups Acesso Framework
2095053	115	conversation	system	gpt-5-1-thinking	Benchmarks nos nu00facleos
2088681	3149	conversation	system	gpt-4o	Cruzamento Cognitivo Fractal
